SERVER_ID;USERNAME;LUIGICOIN
95614618839285760;88047132937822208;9
95614618839285760;94265300622512128;25
95614618839285760;95594620464930816;25
95614618839285760;95646510762438656;25
95614618839285760;95928549810143232;6
95614618839285760;99288066883059712;25
95614618839285760;100303452705402880;25
95614618839285760;105406640857071616;25
95614618839285760;109390602235293696;25
95614618839285760;123523530502438912;25
95614618839285760;127652492795314177;25
95614618839285760;138771288427593729;25
95614618839285760;140651350194126849;25
95614618839285760;159985870458322944;25
95614618839285760;163510258864488448;25
95614618839285760;179064115141148672;25
95614618839285760;183030825292398593;25
95614618839285760;185202545319215104;25
95614618839285760;329802640487874566;25
95614618839285760;407075090425970688;25
95614618839285760;533438895699001364;25
